Convert susp_529...done	2.2915 mins
Convert susp_646...done	3.8074999999999997 mins
Convert susp_253...done	7.519 mins
Convert susp_349...done	8.267999999999999 mins
Convert susp_560...done	6.904833333333333 mins
Convert susp_703...done	8.669166666666666 mins
Convert susp_925...done	9.345 mins
Convert susp_6...done	6.4165 mins
Convert susp_214...done	2.0108333333333333 mins
Convert susp_691...done	8.998166666666666 mins
Convert susp_371...done	7.396166666666667 mins
Convert susp_128...done	5.722166666666666 mins
Convert susp_350...done	7.786666666666666 mins
Convert susp_767...done	10.601333333333335 mins
Convert susp_758...done	7.055666666666666 mins
Convert susp_864...done	9.038499999999999 mins
Convert susp_620...done	7.244666666666666 mins
Convert susp_335...done	13.3955 mins
Convert susp_744...done	2.566666666666667 mins
Convert susp_221...done	6.629666666666666 mins
Convert susp_28...done	5.457666666666666 mins
Convert susp_205...done	7.0035 mins
Convert susp_12...done	8.301166666666667 mins
Convert susp_147...done	6.714666666666667 mins
Convert susp_989...done	8.6505 mins
Convert susp_532...done	13.832666666666666 mins
Convert susp_52...done	5.642666666666667 mins
Convert susp_73...done	5.4 mins
Convert susp_879...done	11.058166666666667 mins
Convert susp_511...done	12.745000000000001 mins
Convert susp_507...done	11.76 mins
Convert susp_528...done	8.603666666666667 mins
Convert susp_65...done	8.458666666666666 mins
Convert susp_512...done	8.4645 mins
Convert susp_670...done	6.841833333333333 mins
Convert susp_404...done	7.5275 mins
Convert susp_811...done	12.692 mins
Convert susp_183...done	7.9565 mins
Convert susp_692...done	8.245333333333333 mins
Convert susp_870...done	9.8575 mins
Convert susp_51...done	3.414833333333333 mins
Convert susp_616...done	6.588333333333334 mins
Convert susp_695...done	4.883166666666667 mins
Convert susp_719...done	7.514666666666667 mins
Convert susp_260...done	9.965833333333334 mins
Convert susp_966...done	6.456166666666666 mins
Convert susp_765...done	3.1035 mins
Convert susp_485...done	2.9496666666666664 mins
Convert susp_83...done	6.870000000000001 mins
Convert susp_817...done	5.287000000000001 mins
Convert susp_932...done	8.901166666666667 mins
Convert susp_224...done	5.6115 mins
Convert susp_344...done	3.5728333333333335 mins
Convert susp_188...done	9.142166666666666 mins
Convert susp_142...done	2.0673333333333335 mins
Convert susp_828...done	6.223833333333333 mins
Convert susp_931...done	20.6655 mins
Convert susp_184...done	7.409000000000001 mins
Convert susp_233...done	4.4705 mins
Convert susp_158...done	6.397166666666666 mins
Convert susp_376...done	6.7620000000000005 mins
Convert susp_715...done	5.343333333333334 mins
Convert susp_481...done	6.303 mins
Convert susp_441...done	7.132833333333334 mins
Convert susp_7...done	2.6813333333333333 mins
Convert susp_226...done	8.169 mins
Convert susp_958...done	7.374333333333333 mins
Convert susp_835...done	7.4334999999999996 mins
Convert susp_242...done	6.641333333333334 mins
Convert susp_407...done	7.048166666666666 mins
Convert susp_379...done	6.5065 mins
Convert susp_821...done	6.557666666666666 mins
Convert susp_788...done	5.945833333333334 mins
Convert susp_661...done	7.923666666666667 mins
Convert susp_665...done	8.826333333333334 mins
Convert susp_736...done	9.485999999999999 mins
Convert susp_171...done	7.336166666666667 mins
Convert susp_26...done	3.4266666666666667 mins
Convert susp_873...done	7.776333333333333 mins
Convert susp_639...done	1.9803333333333333 mins
Convert susp_565...done	2.3400000000000003 mins
Convert susp_281...done	4.843 mins
Convert susp_440...done	2.9893333333333336 mins
Convert susp_603...done	4.631833333333334 mins
Convert susp_268...done	4.298 mins
Convert susp_68...done	4.0755 mins
Convert susp_59...done	8.379833333333334 mins
Convert susp_456...done	5.662333333333334 mins
Convert susp_561...done	2.4246666666666665 mins
Convert susp_798...done	2.7423333333333333 mins
Convert susp_442...done	4.701499999999999 mins
Convert susp_257...done	5.238333333333333 mins
Convert susp_713...done	4.569833333333333 mins
Convert susp_5...done	3.9074999999999998 mins
Convert susp_395...done	3.313 mins
Convert susp_277...done	5.342833333333333 mins
Convert susp_820...done	3.0166666666666666 mins
Convert susp_61...done	5.719166666666666 mins
Convert susp_484...done	4.720666666666667 mins
Convert susp_207...done	5.259 mins
Convert susp_762...done	1.8471666666666666 mins
Convert susp_337...done	2.6278333333333332 mins
Convert susp_429...done	4.018166666666667 mins
Convert susp_336...done	4.947333333333333 mins
Convert susp_796...done	2.591833333333333 mins
Convert susp_116...done	3.8168333333333333 mins
Convert susp_181...done	4.711666666666667 mins
Convert susp_580...done	5.1113333333333335 mins
Convert susp_986...done	8.619 mins
Convert susp_865...done	1.3486666666666667 mins
Convert susp_919...done	3.522666666666667 mins
Convert susp_101...done	7.132666666666666 mins
Convert susp_747...done	3.4061666666666666 mins
Convert susp_8...done	5.843166666666666 mins
Convert susp_45...done	5.048 mins
Convert susp_461...done	4.480666666666666 mins
Convert susp_548...done	6.091833333333333 mins
Convert susp_369...done	3.7351666666666667 mins
Convert susp_518...done	4.892166666666666 mins
Convert susp_622...done	2.138 mins
Convert susp_780...done	1.1651666666666667 mins
Convert susp_651...done	1.768 mins
Convert susp_272...done	2.3215 mins
Convert susp_58...done	1.0083333333333333 mins
Convert susp_759...done	3.4136666666666664 mins
Convert susp_0...done	6.115666666666667 mins
Convert susp_791...done	4.733666666666666 mins
Convert susp_297...done	2.814833333333333 mins
Convert susp_839...done	3.2081666666666666 mins
Convert susp_301...done	2.2335 mins
Convert susp_551...done	3.5361666666666665 mins
Convert susp_145...done	3.8698333333333332 mins
Convert susp_841...done	2.0116666666666667 mins
Convert susp_54...done	2.3373333333333335 mins
Convert susp_660...done	3.4665000000000004 mins
Convert susp_199...done	5.548333333333333 mins
Convert susp_896...done	3.723 mins
Convert susp_592...done	4.5685 mins
